31.9351380138, 2.07577639072, 65.2993916324
32.3287922658, 2.12652188082, 65.1110478185
33.1332238210, 2.22696437161, 64.7700187961
34.2756597118, 2.38155994311, 64.1247554927
35.4549164289, 2.21858272256, 63.5375139531
36.5933622926, 2.08050399004, 62.9030942787
37.8128624746, 1.80537626705, 62.4104947193
38.5581428232, 1.49515965321, 61.3173443835
39.4344750583, 0.983124300639, 60.4788586331
40.2190997527, 0.679379091258, 59.4514027701
41.1203676128, 0.144822732267, 58.6428697537
41.9054443587, -0.133047805845, 57.5997886281
42.6857348383, -0.718838851398, 56.7290430080
43.3546516923, -1.50065846670, 55.8903606976
44.2393320048, -2.12480668134, 55.1269534115
44.9673033045, -2.80422978751, 54.2827439038
45.6002190628, -3.70040043248, 53.4851608004
46.1127958697, -4.05228588715, 52.3231084899
46.6594293339, -4.42748277593, 51.1874129705
47.0215062581, -4.48474230768, 49.8867734430
47.1377042301, -4.28051503407, 48.6299966188
47.2769837857, -3.75953381070, 47.3999235874
47.4037107850, -3.37837593178, 46.1758941687
47.5367954553, -2.96748428203, 44.8390722337
47.9825734101, -3.42971740164, 43.7370925784
48.4777615127, -3.93643326332, 42.5831090936
48.6672052348, -4.75689018383, 41.6357088478
49.0422377181, -5.84445613056, 40.8847678984
49.3231549165, -7.07764924487, 40.6349087023
49.6222846387, -8.36118726867, 40.4803299889
49.9211264025, -9.63087881607, 40.3268321955
50.1742198844, -10.9229132081, 40.2171199536
50.3463956687, -12.2160114503, 40.0519347881
50.5659447916, -13.0019694811, 38.9269713620
50.7361788236, -14.1835995242, 38.1622170522
51.0370003865, -14.2896210855, 36.9119668580
51.0609149972, -14.2371265419, 35.5844974875
50.9077643112, -14.2703230453, 34.2772682977
50.8056805254, -14.2470882116, 32.9558023688
50.7217932673, -14.3780547561, 31.6674307557
50.7202787983, -15.1573266161, 30.5619252194
50.6774481582, -15.6679194640, 29.3155605887
50.7705597456, -16.9128584338, 28.7255294754
50.7137196181, -17.9117224112, 27.8205487920
50.7569771807, -19.1869126866, 27.5513329480
50.7753013695, -20.5484025480, 27.4622367144
50.6578077168, -21.6429812147, 26.9556556396
50.5699335730, -22.9929276892, 26.2603280896
50.5576479666, -22.8385356199, 25.2493682440
50.5398208085, -22.9440457196, 24.8370899127
